0.82,102.42
-0.78,2.43
57.59,-78.76
152.89,-109.08
247.45,-76.55
303.91,5.98
299.97,105.91
237.19,183.74
140.36,208.73
47.75,171.01
-4.06,85.48
5.41,-14.07
72.41,-88.31
170.47,-107.90
260.85,-65.10
307.84,23.17
292.88,122.04
221.87,192.45
122.87,206.58
35.00,158.84
-7.03,68.10
13.39,-29.79
88.19,-96.16
187.82,-104.78
272.91,-52.25
309.85,40.68
284.03,137.29
205.67,199.41
105.72,202.50
23.67,145.34
-8.06,50.51
23.07,-44.53
104.75,-102.21
204.72,-99.76
283.48,-38.14
309.90,58.31
273.56,151.47
188.81,204.54
89.13,196.55
13.90,130.66
-7.14,32.90
34.31,-58.10
121.87,-106.40
220.96,-92.90
292.41,-22.94
308.01,75.83
261.58,164.40
171.48,207.77
73.29,188.81
5.82,115.00
-4.28,15.51
46.98,-70.35
139.35,-108.66
236.34,-84.29
299.62,-6.85
304.19,93.04
248.25,175.93
153.90,209.07
58.41,179.35
-0.48,98.53
0.49,-1.46
60.94,-81.12
156.98,-108.98
250.67,-74.02
304.99,9.93
298.49,109.72
233.72,185.91
136.28,208.41
44.67,168.31
-4.92,81.47
7.11,-17.80
76.00,-90.29
174.53,-107.35
263.78,-62.24
308.48,27.21
290.97,125.67
218.18,194.23
118.85,205.80
32.23,155.82
-7.44,64.03
15.49,-33.31
91.98,-97.73
191.79,-103.78
275.50,-49.08
310.04,44.77
281.74,140.69
201.81,200.77
101.81,201.29
21.26,142.03
-8.02,46.41
25.54,-47.79
108.68,-103.35
208.56,-98.33
285.70,-34.70
309.64,62.40
270.91,154.59
184.82,205.46
85.37,194.91
11.87,127.11
-6.65,28.84
37.13,-61.07
125.91,-107.10
224.61,-91.05
294.25,-19.28
307.29,79.87
258.60,167.21
167.41,208.25
69.75,186.76
4.20,111.24
-3.34,11.52
50.12,-72.99
143.44,-108.91
239.77,-82.05
301.03,-3.01
303.03,96.97
244.97,178.39
149.80,209.09
55.11,176.93
-1.68,94.62
1.87,-5.32
64.34,-83.40
161.07,-108.77
253.83,-71.42
305.97,13.91
296.90,113.50
230.19,188.00
132.21,207.97
41.66,165.54
-5.68,77.45
8.90,-21.48
79.63,-92.17
178.57,-106.69
266.63,-59.30
309.02,31.27
288.98,129.25
214.44,195.91
114.85,204.92
29.55,152.73
-7.75,59.95
17.68,-36.77
95.80,-99.20
195.74,-102.68